Text Size (bits),Embedding Capacity (kb),Bps,SNR (dB),MSE,Stego Audio Quality,SNR Quality,MSE Quality
45194,161.5,1,65.11,0.008828,good,good,good
123326,161.5,1,60.85,0.023553,good,good,good
243104,161.5,1,57.95,0.045976,good,good,good
739418,161.5,1,53.13,0.13939,good,acceptable,acceptable
985669,161.5,1,51.87,0.186087,good,acceptable,acceptable
1319072,161.5,1,50.6,0.249218,good,acceptable,acceptable
45193,323.0,2,59.66,0.030994,good,good,good
123337,323.0,2,55.49,0.080908,good,acceptable,acceptable
243104,323.0,2,52.92,0.146066,good,acceptable,acceptable
739417,323.0,2,48.63,0.393084,good,acceptable,acceptable
985659,323.0,2,47.39,0.522647,good,acceptable,acceptable
1355268,323.0,2,46.07,0.708429,good,bad,bad
1806913,323.0,2,44.89,0.929213,good,bad,bad
2130080,323.0,2,44.22,1.085194,good,bad,bad
2464019,323.0,2,43.63,1.241942,good,bad,bad
45191,23.4,1,56.58,0.058833,good,good,good
123325,23.4,1,52.24,0.160005,good,acceptable,acceptable
180806,23.4,1,50.55,0.235794,good,acceptable,acceptable
45199,46.9,2,52.64,0.146003,good,acceptable,acceptable
123341,46.9,2,48.07,0.417451,good,acceptable,acceptable
243104,46.9,2,44.99,0.849833,good,bad,bad
286880,46.9,2,44.26,1.005094,good,bad,bad
369719,46.9,2,43.16,1.294,good,bad,bad
45188,643.6,1,70.83,0.002146,good,good,good
123342,643.6,1,66.47,0.005858,good,good,good
243104,643.6,1,63.52,0.011557,good,good,good
739393,643.6,1,58.68,0.0035154,good,good,good
985704,643.6,1,57.45,0.046678,good,good,good
1355297,643.6,1,56.07,0.064254,good,acceptable,acceptable
1806962,643.6,1,54.81,0.085836,good,acceptable,acceptable
2130080,643.6,1,54.1,0.101052,good,acceptable,acceptable
2463960,643.6,1,53.47,0.116927,good,acceptable,acceptable
3695924,643.6,1,51.71,0.17508,good,acceptable,acceptable
4243616,643.6,1,51.1,0.201455,good,acceptable,acceptable
4640446,643.6,1,50.72,0.219882,good,acceptable,acceptable
5100345,643.6,1,50.31,0.241732,good,acceptable,acceptable
5256462,643.6,1,50.18,0.249207,good,acceptable,acceptable
45195,1287.1,2,66.71,0.005537,good,good,good
123338,1287.1,2,62.36,0.015079,good,good,good
243104,1287.1,2,59.48,0.029305,good,good,good
520352,1287.1,2,56.13,0.063282,good,acceptable,acceptable
739381,1287.1,2,54.49,0.092343,good,acceptable,acceptable
985673,1287.1,2,53.27,0.122369,good,acceptable,acceptable
1355274,1287.1,2,51.89,0.168218,good,acceptable,acceptable
1806896,1287.1,2,50.62,0.225086,good,acceptable,acceptable
2130080,1287.1,2,49.87,0.267614,good,acceptable,acceptable
2464015,1287.1,2,49.27,0.30748,good,acceptable,acceptable
3696011,1287.1,2,47.53,0.458325,good,acceptable,acceptable
4640448,1287.1,2,46.59,0.569861,good,bad,bad
5100390,1287.1,2,46.19,0.623797,good,bad,bad
5749156,1287.1,2,45.69,0.700803,good,bad,bad
6159968,1287.1,2,45.39,0.750191,good,bad,bad
6981240,1287.1,2,44.87,0.84702,good,bad,bad
7782560,1287.1,2,44.4,0.943754,good,bad,bad
10240160,1287.1,2,43.23,1.233414,good,bad,bad
45204,322.8,1,67.86,0.004275,good,good,good
123330,322.8,1,63.53,0.011589,good,good,good
243104,322.8,1,60.56,0.022979,good,good,good
520352,322.8,1,57.26,0.049131,good,good,good
739359,322.8,1,55.73,0.069907,good,acceptable,acceptable
985648,322.8,1,54.48,0.093068,good,acceptable,acceptable
1355263,322.8,1,53.1,0.127952,good,acceptable,acceptable
1806977,322.8,1,51.84,0.170911,good,acceptable,acceptable
2130080,322.8,1,51.13,0.201322,good,acceptable,acceptable
2463976,322.8,1,50.49,0.233258,good,acceptable,acceptable
2621600,322.8,1,50.23,0.247873,good,acceptable,acceptable
45201,645.6,2,63.81,0.010859,good,good,good
123339,645.6,2,59.41,0.029941,good,good,good
243104,645.6,2,56.5,0.058473,good,acceptable,good
520352,645.6,2,53.16,0.126164,good,acceptable,acceptable
739393,645.6,2,51.52,0.184177,good,acceptable,acceptable
985654,645.6,2,50.3,0.243673,good,acceptable,acceptable
1355238,645.6,2,48.92,0.33542,good,acceptable,acceptable
1806957,645.6,2,47.66,0.44844,good,acceptable,acceptable
2130080,645.6,2,46.91,0.532894,good,bad,bad
2464008,645.6,2,46.3,0.612555,good,bad,bad
3695958,645.6,2,44.56,0.914032,good,bad,bad
4243616,645.6,2,43.99,1.041951,good,bad,bad
4640483,645.6,2,43.63,1.133907,good,bad,bad
5100392,645.6,2,43.23,1.243415,good,bad,bad
5281060,645.6,2,43.08,1.286127,good,bad,bad
45197,128.4,1,63.89,0.010752,good,good,good
123341,128.4,1,59.53,0.02933,good,good,good
243104,128.4,1,56.58,0.057891,good,good,good
520352,128.4,1,53.29,0.123461,good,acceptable,acceptable
739421,128.4,1,51.75,0.175935,good,acceptable,acceptable
985638,128.4,1,50.52,0.233849,good,acceptable,acceptable
1034934,128.4,1,50.31,0.24545,good,acceptable,acceptable
45196,256.9,2,59.85,0.027298,good,good,good
123340,256.9,2,55.43,0.075424,good,acceptable,acceptable
243104,256.9,2,52.53,0.147185,good,acceptable,acceptable
520352,256.9,2,49.17,0.319277,good,acceptable,acceptable
739379,256.9,2,47.54,0.464272,good,acceptable,acceptable
985658,256.9,2,46.33,0.612698,good,bad,bad
1355266,256.9,2,44.99,0.844976,good,bad,bad
1806955,256.9,2,43.69,1.127226,good,bad,bad
2080928,256.9,2,43.04,1.306951,good,bad,bad
45200,25.7,1,56.9,0.053831,good,good,good
123341,25.7,1,52.55,0.146559,good,acceptable,acceptable
197233,25.7,1,50.52,0.233922,good,acceptable,acceptable
45200,51.5,2,52.95,0.133636,good,acceptable,acceptable
243104,51.5,2,45.63,0.721509,good,bad,bad
328644,51.5,2,44.31,0.977284,good,bad,bad
409760,51.5,2,43.36,1.216041,good,bad,bad
45197,63.99,1,60.93,0.02156,good,good,good
123337,64.0,1,56.58,0.058738,good,good,good
243104,64.0,1,53.63,0.116008,good,acceptable,acceptable
328638,64.0,1,52.32,0.156561,good,acceptable,acceptable
451811,64.0,1,50.94,0.215089,good,acceptable,acceptable
520352,64.0,1,50.32,0.248401,good,acceptable,acceptable
45198,128.0,2,56.81,0.05575,good,good,good
123326,128.0,2,52.53,0.149364,good,acceptable,acceptable
243104,128.0,2,49.56,0.295554,good,acceptable,acceptable
451829,128.0,2,46.81,0.557519,good,bad,bad
520352,128.0,2,46.23,0.637518,good,bad,bad
739415,128.0,2,44.6,0.927415,good,bad,bad
985641,128.0,2,43.39,1.22442,good,bad,bad
1034877,128.0,2,43.18,1.285887,good,bad,bad
45200,123.0,1,64.0,0.01128,good,good,good
123347,123.0,1,59.65,0.03075,good,good,good
243104,123.0,1,56.72,0.06038,good,good,acceptable
520352,123.0,1,53.42,0.129004,good,acceptable,acceptable
739367,123.0,1,51.9,0.183134,good,acceptable,acceptable
985696,123.0,1,50.64,0.244753,good,acceptable,acceptable
45202,246.0,2,59.27,0.033555,good,good,good
123329,123.0,1,55.28,0.084073,good,acceptable,acceptable
243104,246.0,2,52.14,0.173226,good,acceptable,acceptable
520352,246.0,2,48.87,0.367857,good,acceptable,acceptable
739367,246.0,2,47.35,0.522162,good,acceptable,acceptable
985686,246.0,2,46.12,0.693212,good,bad,bad
1355221,246.0,2,44.71,0.959582,good,bad,bad
1806973,246.0,2,43.45,1.28253,good,bad,bad
2004115,246.0,2,43.0,1.42281,good,bad,bad
45195,33.6,1,58.55,0.041053,good,good,good
123343,33.6,1,54.2,0.111728,good,acceptable,acceptable
243104,33.6,1,51.24,0.220808,good,acceptable,acceptable
45200,67.2,2,54.19,0.111976,good,acceptable,acceptable
123343,67.2,2,49.78,0.309432,good,acceptable,acceptable
243104,67.2,2,46.52,0.611321,good,bad,bad
520352,67.2,2,43.49,1.315009,good,bad,bad
45200,1293.6,1,73.87,0.001082,good,good,good
123332,1293.6,1,69.59,0.002899,good,good,good
243104,1293.6,1,66.64,0.00572,good,good,good
739388,1293.6,1,61.79,0.017446,good,good,good
1355217,1293.6,1,59.16,0.031994,good,good,good
2130080,1293.6,1,57.2,0.050241,good,good,good
3695959,1293.6,1,54.8,0.087255,good,acceptable,acceptable
4640503,1293.6,1,53.82,0.109491,good,acceptable,acceptable
5324960,1293.6,1,53.22,0.125588,good,acceptable,acceptable
6981215,1293.6,1,52.04,0.164668,good,acceptable,acceptable
9011360,1293.6,1,50.93,0.212612,good,acceptable,acceptable
10240160,1293.6,1,50.38,0.241673,good,acceptable,acceptable
45193,2587.2,2,69.18,0.003185,good,good,good
123337,2587.2,2,65.06,0.008224,good,good,good
520352,2587.2,2,59.2,0.031725,good,good,good
985651,2587.2,2,56.51,0.058913,good,acceptable,acceptable
1806984,2587.2,2,53.89,0.107579,good,acceptable,acceptable
2464017,2587.2,2,52.57,0.145917,good,acceptable,acceptable
4243616,2587.2,2,50.21,0.251242,good,acceptable,acceptable
5100434,2587.2,2,49.41,0.301691,good,acceptable,acceptable
10240160,2587.2,2,46.39,0.60558,good,bad,bad
14783783,2587.2,2,44.8,0.872756,good,bad,bad
